source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_g_mean_flux_over_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,l,b,cluster_label,membership_prob,is_member
659373141744409984,129.90414825337888,0.023478882,17.788814427935883,0.01510663,5.371860603771807,0.030681659,175.08379,-35.57638630522419,0.033469494,-10.43849521331822,0.022533119,14.734729,15.768661,13.725764,2.0428963,1.0339317,1.0089645,2421.7454,31.736969,4.3508844,1.0431297,0.0,0.0,207.91268481520697,31.64294738912624,1,0.3250353866240265,True
659440138937561344,129.73526108184353,0.16818884,18.216520795284247,0.11345209,5.2495830154532666,0.21677552,24.216679,-36.16400326606244,0.19138962,-11.9629350433763,0.12788448,18.370014,20.143501,17.062023,3.081478,1.7734871,1.307991,430.04285,,,0.9775568,0.0,0.0,207.37605497487985,31.648502735994644,1,0.5265934034091715,True
659741233329151744,129.00987470866414,0.16773711,19.07396683175438,0.11281794,5.415559532543599,0.22094382,24.511024,-35.89414920208626,0.21659786,-13.23176221826412,0.14747061,18.304369,20.243866,17.00954,3.2343254,1.939497,1.2948284,591.94324,,,1.0267103,0.5039209,1.9082047,206.1488577805225,31.313374249406664,1,0.9690936836777794,True
660088610279891584,131.53386508132266,0.10538848,18.040870536330026,0.055478282,5.7251273593682654,0.123749964,46.26367,-36.68448155510194,0.1303444,-11.70950774565872,0.092233144,17.926682,19.833918,16.632536,3.2013817,1.9072361,1.2941456,775.4763,,,0.96519333,0.0,0.0,208.3000868763994,33.17957725566379,1,0.3042793895378055,True
660114418739656576,131.7878083761239,0.039677717,18.19365460212405,0.021721743,5.476872708879232,0.05313974,103.06548,-37.34166045331271,0.05368313,-11.250433997154715,0.039995916,16.005327,17.381838,14.846748,2.5350895,1.3765106,1.1585789,1454.8256,,,0.96260774,0.0,0.0,208.2331505725128,33.45969477398558,1,0.37989496833010283,True
660230348496832128,132.0937320298556,0.037033092,18.61238600341227,0.01866807,5.361353540588534,0.039821345,134.63516,-36.88608818266537,0.04692811,-11.35742608934274,0.0326716,15.836479,17.160288,14.699503,2.460785,1.3238087,1.1369762,1812.4579,,,1.0273656,0.0,0.0,207.8870262563113,33.87995552018918,1,0.48519192482388757,True
660326310950043648,132.04239616203023,0.32147166,19.149903908128167,0.15242077,5.579538277363025,0.34881285,15.995793,-38.47216455950499,0.39783362,-12.875863480521415,0.25152558,19.304918,21.077085,17.932535,3.1445503,1.7721672,1.3723831,359.1153,,,1.0115417,0.5421423,0.62960374,207.25964962221835,34.02297101027352,1,0.3836436903133326,True
660923105246007552,130.6857060287714,0.11384576,18.466612351422327,0.04570936,5.377588004569854,0.13284695,40.479576,-37.044335246005645,0.14789431,-12.64336951047439,0.09467811,17.728884,19.475964,16.448858,3.0271053,1.7470798,1.2800255,932.5094,,,0.974747,0.0,0.0,207.48295458841395,32.580295161485445,1,0.6846329821112384,True
660978669238963200,130.3846406414803,0.06186976,18.669592925558295,0.029085765,5.436292482429084,0.07803408,69.66562,-36.2266245804616,0.08302715,-12.27967229386675,0.06059273,16.601542,18.085545,15.415539,2.6700058,1.4840031,1.1860027,1840.9672,,,0.99023783,0.0,4.0244704e-15,207.13755593660792,32.38597680068128,1,0.9062823672095451,True
661010005319096192,130.74165174044754,0.15223986,18.90977413828621,0.059397932,5.340174661292322,0.15829325,33.735962,-36.72922494932748,0.16914977,-12.972156301612184,0.11269044,18.323666,18.301458,18.447277,-0.14581871,-0.02220726,-0.12361145,875.50543,,,1.0324429,0.11554165,0.1457484,207.01304393890533,32.787118121782164,1,0.6777352612690928,True
661018904492612224,130.93133368612828,0.017063888,19.075814640282843,0.00658982,5.0669878210926145,0.01850794,273.7737,-33.68968048651628,0.019021243,-12.72450624058976,0.0125360815,13.04454,13.644753,12.311053,1.3337002,0.60021305,0.7334871,4618.7144,35.246174,1.0271245,1.0928496,0.04870345,2.8111074,206.90304499511035,33.013410058360115,1,0.326373493924468,True
661040375034239104,130.76132333283118,0.39377955,19.31866715100098,0.17663053,5.173315845088235,0.4695566,11.017449,-36.50227408834376,0.46657985,-12.426427951498116,0.35459778,19.86095,21.1446,18.448507,2.6960926,1.2836494,1.4124432,343.95248,,,0.99408436,0.22888845,0.076704904,206.56489117926125,32.94789882214233,1,0.45937106143414536,True
661138712604101760,130.99126412809434,0.20871271,19.5163858626182,0.091081895,5.675436943611183,0.2478445,22.899183,-37.00635671797065,0.3025265,-11.921161868633872,0.24301262,18.673832,20.65488,17.351463,3.3034172,1.9810486,1.3223686,608.39056,,,0.95315146,0.11484552,0.08935779,206.4335216171436,33.21993962614793,1,0.39334031027143507,True
661209566682500736,129.94385600877777,0.026837302,19.21773117765052,0.017233951,5.3745576990292,0.033961102,158.25629,-35.91267677977277,0.03328386,-11.738724454061266,0.024442516,14.628244,15.631694,13.633833,1.9978609,1.0034494,0.99441147,2244.3557,36.46582,5.6857014,1.0232649,0.0,0.0,206.35671238182013,32.189682344862355,1,0.8571758857024279,True
661231625634645504,130.7718553444295,0.023693074,19.4651171201773,0.010156779,5.376581056392203,0.027980352,192.1556,-36.914005565866674,0.029325688,-12.282252322387809,0.020110527,14.577018,15.564828,13.592593,1.9722347,0.98781013,0.9844246,3695.2585,29.501778,3.1708283,1.1069162,0.05729282,1.4830588,206.40533535681115,33.00815647547855,1,0.7019594354042733,True
661239390935361024,130.27855444425566,0.058760155,19.443540029874686,0.03104143,5.563882355261798,0.071443886,77.877655,-36.47127857152202,0.0742195,-13.10807761671131,0.04757926,16.626617,18.152094,15.411095,2.7409992,1.5254765,1.2155228,1339.4753,,,0.97838736,0.0,0.0,206.23701719053813,32.56454109874163,1,0.6322433051945306,True
661249595777725568,130.4731276997274,0.10136936,19.608426445573304,0.048973154,5.244392493725436,0.113940604,46.027424,-36.72023740585499,0.119819365,-13.656377710347025,0.07756695,17.608885,19.364973,16.361746,3.0032272,1.7560883,1.247139,669.99445,,,1.0272475,0.18012479,0.6184163,206.12898373934908,32.79377514192409,1,0.3988673527067831,True
661253993824132480,130.38639824656235,0.42148787,19.670397586391303,0.2157088,5.3696899368686015,0.45249602,11.866822,-35.4843457689517,0.4605173,-12.401005335006229,0.32817674,19.871092,21.207335,18.492714,2.7146206,1.3362427,1.3783779,299.59732,,,1.068602,0.817878,0.6572341,206.026222221841,32.73858548553797,1,1.0,True
661291136701346304,130.11237090028794,0.03479642,19.544758383359664,0.024268301,5.383632218724936,0.04742492,113.51905,-36.29259374222769,0.044343136,-12.133351601756733,0.03580073,6.2683663,6.3392134,6.117872,0.22134113,0.070847034,0.1504941,3281.6348,,,0.98319995,0.21954621,47.66615,206.05984986548657,32.4528978894502,1,0.7532099724420924,True
661296565539900544,130.01019952383345,0.07308094,19.676436063009536,0.048419982,5.538436153919035,0.089731485,61.722324,-35.705420807160685,0.08701304,-12.621259226088336,0.06443862,16.5728,18.11884,15.369391,2.7494478,1.5460396,1.2034082,1153.1289,,,1.0706083,0.10531244,0.48008084,205.87395971884223,32.40834661092586,1,0.5878414946737395,True
661333704119506944,130.78761053447744,0.32039782,19.719913432892877,0.13409229,5.469216031309502,0.38046494,14.375085,-35.51060379019398,0.41073987,-13.166008637868966,0.30027157,19.101645,21.042704,17.75274,3.2899628,1.9410591,1.3489037,463.92386,,,1.056127,1.0165379,3.5924783,206.12620428913564,33.11019932316081,1,0.7588424710629375,True
661458915303531136,130.7359979762938,0.091840655,20.51163419728094,0.041613072,5.271742728331521,0.105909735,49.77581,-35.675307514862084,0.10614568,-13.984678936342398,0.081937805,17.411768,19.128899,16.154087,2.9748116,1.7171307,1.2576809,1103.849,,,0.98814,0.34830156,3.68939,205.2166463779586,33.33429517236322,1,0.5319417758889406,True
661845840315682176,131.07587803262976,0.09423118,20.83004070604431,0.042565558,5.2956897032743075,0.10335679,51.236977,-36.52961212374677,0.11177039,-12.90525726273802,0.07843574,17.554052,19.383266,16.260965,3.122301,1.8292141,1.293087,942.2627,,,0.9533103,0.0,0.0,204.9843251494344,33.740506898491745,1,0.6024549754081365,True
661997882157921664,132.260212443697,0.06950169,21.556635150516172,0.0328643,5.388369998931855,0.088097975,61.16338,-37.0186515529384,0.08612043,-13.55197593409478,0.055698566,16.425407,18.114851,15.161122,2.9537287,1.6894436,1.2642851,1096.8922,,,1.2262436,0.2825848,5.257527,204.5902221697415,35.021702303409874,1,0.66474151919805,True
662215551101680128,127.80384142221136,0.015060195,18.153595880885465,0.010734652,5.500165990320541,0.016894922,325.55142,-35.2092460237408,0.01597286,-12.24673793868332,0.012402679,9.7532,9.983325,9.368098,0.61522675,0.23012543,0.38510132,5366.748,37.29123,0.64698756,0.899185,0.07746003,7.0027385,206.66897822648716,29.915867589576205,1,0.5750886614334897,True
658445218353519488,129.6290992125157,0.0143231535,16.790206248793293,0.010390022,5.527214765232309,0.016119614,342.88754,-36.41725458201197,0.017474342,-10.895317965318842,0.01301248,11.608404,12.004003,11.051194,0.9528084,0.3955984,0.55720997,1914.0267,35.06797,0.5783114,0.9526282,0.08560821,10.329685,208.88544013429453,31.029857670876776,1,0.32607023961093506,True
659228173712358272,129.5186991750887,0.22189498,17.256458646941912,0.16897343,5.109886816258593,0.25732192,19.857954,-33.38519778924465,0.26570937,-11.288863068155557,0.22273669,18.931667,20.834541,17.625498,3.2090435,1.902874,1.3061695,396.7825,,,0.9630794,0.62220067,1.1163526,208.33435322385125,31.10545676104487,1,0.30877200163272805,True
659253638574908672,129.81917954638897,0.016348897,17.46287380786685,0.011465002,5.383173477777592,0.01912733,281.43884,-36.12583425992488,0.019206304,-11.663227114807814,0.014815008,11.496429,11.871488,10.960934,0.91055393,0.37505817,0.53549576,2018.3617,34.192078,0.67837274,0.9096701,0.106926836,14.912558,208.23374044502472,31.448186039072873,1,0.8571758857024279,True
659332764755294976,129.66764775400512,0.2424087,17.93317003963687,0.15183094,5.207701078650884,0.3105294,16.770395,-35.29693935864035,0.328254,-12.414223859396156,0.2050999,18.85249,20.808065,17.530722,3.2773438,1.955576,1.3217678,386.52905,,,1.0416253,0.5450565,0.9461312,207.6586637431972,31.485901010821724,1,0.5236796914198377,True
659388947224025856,130.0921845274542,0.023894604,18.123483985475342,0.015423288,5.427515821773653,0.030259388,179.36635,-35.12313924378809,0.029494362,-11.675427090706116,0.020206036,14.666425,15.682675,13.669119,2.0135565,1.0162506,0.99730587,2387.2935,34.22345,3.894518,1.0173842,0.0,0.0,207.6222340907863,31.931128062990048,1,0.5040840518105096,True
659393929386140288,130.46767220985743,0.019924518,18.05185515128366,0.010157506,5.52354474846067,0.022888288,241.32626,-36.54016895870606,0.023526773,-12.405302482243153,0.019664856,14.333665,15.272211,13.376785,1.8954258,0.9385462,0.9568796,4526.931,33.58937,1.9333026,1.0158657,0.0,0.0,207.853311509448,32.23804831200876,1,0.6706690128665849,True
659452272221698432,129.70703803938113,0.012667386,18.26581015315567,0.008644424,5.358541989345123,0.015488405,345.9712,-35.53449949838832,0.017149491,-11.272379200049688,0.013262519,12.30858,12.788989,11.6734915,1.1154976,0.48040867,0.6350889,3088.367,34.34533,1.092013,0.9664996,0.04621109,2.6996315,207.3106962732022,31.641289916520577,1,0.5311895315542052,True
