source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_g_mean_flux_over_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,l,b
609390060403869696,131.36746089150125,0.29122025,14.923933225692172,0.14839476,3.6129194433600036,0.35127524,10.285153,-12.942634239991403,0.3893851,-16.965393589747723,0.29060468,19.271317,20.917301,18.006489,2.9108124,1.6459846,1.2648277,434.03146,,,1.0356963,0.5164421,0.74170226,211.65593241351402,31.862242005551785
609569349521089280,131.13984570460502,0.3716395,14.81773231849094,0.19470347,3.3443249642794393,0.43081343,7.762815,-9.45708587265852,0.44094732,3.12297204417818,0.32833946,19.717001,20.811106,18.339743,2.471363,1.0941048,1.3772583,244.41325,,,0.9938971,0.6912954,0.7373497,211.66988145538497,31.618245682639696
609591515845734784,130.84997149499557,0.12035421,15.050888423628091,0.054594196,4.253041463798055,0.1356186,31.360313,-14.515699972649752,0.14271687,-6.465924477899675,0.09437048,17.828815,19.426447,16.614027,2.81242,1.5976315,1.2147884,997.828,,,1.0032041,0.031000221,0.015997354,211.28982523615147,31.45128099458945
609615911259915520,130.6870596227388,0.020367887,15.074637534670575,0.008783569,5.744627095977933,0.022695987,253.11201,-8.890118604895353,0.022653334,-6.832110523800761,0.016941637,14.289099,15.2019,13.346761,1.8551388,0.9128008,0.942338,4747.818,24.827229,4.0776525,1.0394648,0.0,0.0,211.1925212174523,31.315592046996272
609757503446087424,132.0778434975773,0.06423969,15.106749776961895,0.038146976,3.325198649584107,0.07686696,43.25914,-18.882095519038373,0.07787404,-27.06646406998402,0.07197159,16.837786,18.238604,15.688759,2.5498447,1.4008179,1.1490269,1330.961,,,1.0191183,0.0,0.0,211.7723283908269,32.56544496944469
609809975062367488,132.31571735232626,0.0935333,15.577798204883651,0.050685477,5.596389288852393,0.11554646,48.434105,-5.22532507351079,0.11935013,2.744802836499106,0.07916283,17.52052,19.240578,16.257397,2.983181,1.7200584,1.2631226,1027.0984,,,0.96443003,0.0,0.0,211.36073660217144,32.95878047982172
609870207683818752,133.0987585057221,0.053110927,15.68501299980887,0.029373892,4.0133633749496544,0.061702926,65.04332,-89.54521685732101,0.064383544,-64.02053489204879,0.0502745,16.49247,17.90191,15.260122,2.6417885,1.409441,1.2323475,1489.8616,,,1.1267396,0.23929958,4.01054,211.58758615469844,33.69648382061045
609875460428434176,133.10200859091506,0.39063743,15.760428052619861,0.2132908,7.58552592686188,0.4946734,15.334413,-13.91369978157262,0.5131308,-74.91628341989056,0.34575006,19.806988,21.665438,18.354162,3.3112755,1.8584499,1.4528255,288.4603,,,1.058063,1.007232,1.2752573,211.50522236707437,33.72815680787977
609877418933270656,133.23457142629212,0.01235752,15.751335146607722,0.0065843966,5.394058729640465,0.014672395,367.63315,-9.584077512301906,0.014111414,-34.13118052454393,0.0108772125,12.222132,12.695658,11.59276,1.1028976,0.473526,0.62937164,5440.279,27.382097,0.6427734,1.0553071,0.06839455,7.6808567,211.57386481416071,33.84263436651758
609901539469522560,132.73453138652536,0.44260648,15.75962075450754,0.2597731,3.666457442250351,0.5204671,7.0445514,-3.8091568324626217,0.58141744,-13.799787489688846,0.47014055,19.99572,20.82511,18.688213,2.1368961,0.8293896,1.3075066,231.49513,,,0.9763512,0.7155971,0.51880836,211.34426148567118,33.40091187292764
